node,status,reason,rows_common,rows_evaluated,rows_fit_level,rows_with_level_metric,rows_with_level_curve,rows_with_offset,level_bins_configured,level_bins_effective,mae_baseline_db,mae_after_h_db,mae_after_ha_db,mae_after_hl_db,mae_after_hla_db,improvement_h_db,improvement_ha_db,improvement_hl_db,improvement_hla_db,clean_mask_used_for_level,interpolate_between_bins
Node1-Bogota,fitted,ok,105,105,100,105,105,100,7,7,0.845608574770889,0.44874988952171324,0.4488856258992101,0.42698595619857943,0.44749602223445345,0.3968586852491758,0.3967229488716789,0.4186226185723096,0.39811255253643557,True,True
Node10-Bogota,fitted,ok,104,104,98,104,104,98,7,7,0.8728514957345102,0.5178694035187663,0.5593940645545361,0.49129263305896387,0.5714628993453454,0.35498209221574384,0.31345743117997404,0.3815588626755463,0.3013885963891647,True,True
Node2-Bogota,fitted,ok,105,105,100,105,105,100,7,7,0.8368637308599869,0.45292466846421814,0.45473498936082335,0.44476938226375107,0.4612903178471304,0.38393906239576875,0.38212874149916354,0.3920943485962358,0.37557341301285646,True,True
Node3-Bogota,fitted,ok,105,105,105,105,105,105,7,7,2.3777795496908176,0.5320670853115761,0.5526874015147465,0.5160739662898346,0.5430359315014137,1.8457124643792415,1.8250921481760711,1.861705583400983,1.834743618189404,True,True
Node4-Bogota,fitted,ok,105,105,102,105,105,102,7,7,0.6981283571544186,0.3993676880474613,0.39261438069032517,0.3930481982828097,0.3946123605639644,0.29876066910695726,0.3055139764640934,0.3050801588716089,0.30351599659045414,True,True
Node5-Bogota,fitted,ok,105,105,102,105,105,102,7,7,0.6540116025603773,0.39826485149756086,0.3767376913890147,0.3903061603412178,0.37690859580598746,0.2557467510628164,0.2772739111713626,0.2637054422191595,0.2771030067543898,True,True
Node6-Bogota,fitted,ok,105,105,104,105,105,104,7,7,1.5673428321965197,0.4637988879535523,0.4708178751122831,0.4576916516621079,0.4683997765113762,1.1035439442429675,1.0965249570842366,1.1096511805344118,1.0989430556851434,True,True
Node8-Bogota,fitted,ok,23,23,20,23,23,20,7,7,0.9591645613594988,0.3858246994840133,0.34457306720455644,0.37215798154489277,0.345130206444136,0.5733398618754855,0.6145914941549424,0.587006579814606,0.6140343549153628,True,True
Node7-Bogota,reference,"reference node (H=0, H(L)=0, A=0)",105,105,0,0,105,105,7,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True
Node9-Funza,skipped,no frequency overlap with reference,105,0,0,0,0,0,7,0,,,,,,,,,,True,True
