node,bin_idx,level_low_db,level_high_db,rows_in_bin,interpolate_between_bins,clean_rows_used_for_level
Node1-Bogota,0,-22.10376432187051,-20.930172527748507,15,True,True
Node1-Bogota,1,-20.930172527748507,-20.562767157718014,14,True,True
Node1-Bogota,2,-20.562767157718014,-20.237048528250362,14,True,True
Node1-Bogota,3,-20.237048528250362,-20.10868111137906,14,True,True
Node1-Bogota,4,-20.10868111137906,-19.847390306894134,14,True,True
Node1-Bogota,5,-19.847390306894134,-19.476890585464545,14,True,True
Node1-Bogota,6,-19.476890585464545,-16.83940915822729,15,True,True
Node10-Bogota,0,-22.270305750076584,-20.92288133140774,14,True,True
Node10-Bogota,1,-20.92288133140774,-20.59825917831191,14,True,True
Node10-Bogota,2,-20.59825917831191,-20.465569185424705,14,True,True
Node10-Bogota,3,-20.465569185424705,-20.327849624320166,14,True,True
Node10-Bogota,4,-20.327849624320166,-20.18854443406758,14,True,True
Node10-Bogota,5,-20.18854443406758,-19.96791766559515,14,True,True
Node10-Bogota,6,-19.96791766559515,-17.507742359245892,14,True,True
Node2-Bogota,0,-22.264535865996436,-21.057264745270707,15,True,True
Node2-Bogota,1,-21.057264745270707,-20.88480942902658,14,True,True
Node2-Bogota,2,-20.88480942902658,-20.75478689696917,14,True,True
Node2-Bogota,3,-20.75478689696917,-20.62239553807485,14,True,True
Node2-Bogota,4,-20.62239553807485,-20.328024250397235,14,True,True
Node2-Bogota,5,-20.328024250397235,-19.95295650590894,14,True,True
Node2-Bogota,6,-19.95295650590894,-17.741150834773944,15,True,True
Node3-Bogota,0,-20.351370055700478,-20.181174212090575,15,True,True
Node3-Bogota,1,-20.181174212090575,-20.11031104760122,15,True,True
Node3-Bogota,2,-20.11031104760122,-20.069354137480286,15,True,True
Node3-Bogota,3,-20.069354137480286,-20.011016763224404,15,True,True
Node3-Bogota,4,-20.011016763224404,-19.837619294952084,15,True,True
Node3-Bogota,5,-19.837619294952084,-19.680260878971506,15,True,True
Node3-Bogota,6,-19.680260878971506,-18.739324686577653,15,True,True
Node4-Bogota,0,-21.197353273559887,-20.547076626062147,15,True,True
Node4-Bogota,1,-20.547076626062147,-20.31182338197418,14,True,True
Node4-Bogota,2,-20.31182338197418,-20.018434767595224,15,True,True
Node4-Bogota,3,-20.018434767595224,-19.853013088534677,14,True,True
Node4-Bogota,4,-19.853013088534677,-19.716123020429716,15,True,True
Node4-Bogota,5,-19.716123020429716,-19.54087313597412,14,True,True
Node4-Bogota,6,-19.54087313597412,-18.231105481528935,15,True,True
Node5-Bogota,0,-21.64177354510356,-21.172374601425503,15,True,True
Node5-Bogota,1,-21.172374601425503,-20.742625211055913,14,True,True
Node5-Bogota,2,-20.742625211055913,-20.55719969975271,15,True,True
Node5-Bogota,3,-20.55719969975271,-20.289088122013567,14,True,True
Node5-Bogota,4,-20.289088122013567,-20.072548917656338,15,True,True
Node5-Bogota,5,-20.072548917656338,-19.697023053927747,14,True,True
Node5-Bogota,6,-19.697023053927747,-16.746953190347053,15,True,True
Node6-Bogota,0,-20.399723998816953,-19.996109286950418,15,True,True
Node6-Bogota,1,-19.996109286950418,-19.903510722373216,15,True,True
Node6-Bogota,2,-19.903510722373216,-19.835628515332047,15,True,True
Node6-Bogota,3,-19.835628515332047,-19.786035081960126,14,True,True
Node6-Bogota,4,-19.786035081960126,-19.7109390499699,15,True,True
Node6-Bogota,5,-19.7109390499699,-19.53476634833557,15,True,True
Node6-Bogota,6,-19.53476634833557,-18.486580809239435,15,True,True
Node7-Bogota,0,-0.5,-0.35714285714285715,0,True,True
Node7-Bogota,1,-0.35714285714285715,-0.2142857142857143,0,True,True
Node7-Bogota,2,-0.2142857142857143,-0.07142857142857145,0,True,True
Node7-Bogota,3,-0.07142857142857145,0.0714285714285714,0,True,True
Node7-Bogota,4,0.0714285714285714,0.2142857142857142,0,True,True
Node7-Bogota,5,0.2142857142857142,0.3571428571428571,0,True,True
Node7-Bogota,6,0.3571428571428571,0.5,0,True,True
Node8-Bogota,0,-22.60721875995408,-21.25964331899587,3,True,True
Node8-Bogota,1,-21.25964331899587,-21.16245560342582,3,True,True
Node8-Bogota,2,-21.16245560342582,-21.03816652066945,3,True,True
Node8-Bogota,3,-21.03816652066945,-20.94194000252417,2,True,True
Node8-Bogota,4,-20.94194000252417,-20.760704262643632,3,True,True
Node8-Bogota,5,-20.760704262643632,-20.33567076061077,3,True,True
Node8-Bogota,6,-20.33567076061077,-19.71719760377919,3,True,True
